,Home Team,Away Team,Score,Half Time Score,Match Excitement,Home Team Rating,Away Team Rating,Home Team Possession %,Away Team Possession %,Home Team Off Target Shots,Home Team On Target Shots,Home Team Total Shots,Home Team Blocked Shots,Home Team Corners,Home Team Throw Ins,Home Team Pass Success %,Home Team Aerials Won,Home Team Clearances,Home Team Fouls,Home Team Yellow Cards,Home Team Second Yellow Cards,Home Team Red Cards,Away Team Off Target Shots,Away Team On Target Shots,Away Team Total Shots,Away Team Blocked Shots,Away Team Corners,Away Team Throw Ins,Away Team Pass Success %,Away Team Aerials Won,Away Team Clearances,Away Team Fouls,Away Team Yellow Cards,Away Team Second Yellow Cards,Away Team Red Cards,Home Team Goals Scored,Away Team Goals Scored,Home Team Goals Conceeded,Away Team Goals Conceeded,year
88,INTER,SAMPDORIA,1-0,0-0,4.3,6.7,5.8,62,38,6,5,17,6,4,32,85,16,17,11,2,0,0,4,4,10,2,4,21,74,14,19,19,2,0,0,1,0,0,1,2014
89,HELLAS,LAZIO,01-Jan,0-1,4.1,6.4,6.1,42,58,7,3,11,1,2,25,71,23,30,13,2,0,0,5,3,10,2,3,24,78,20,29,14,3,1,0,1,1,1,1,2014
90,NAPOLI,ROMA,2-0,1-0,5.1,7.4,5.8,41,59,6,6,15,3,6,17,79,7,16,13,2,0,0,4,2,8,2,5,20,87,9,25,11,3,0,0,2,0,0,2,2014
91,EMPOLI,JUVENTUS,0-2,0-0,5.1,5.3,6.9,43,57,4,4,12,4,6,31,77,11,17,15,2,0,1,7,7,18,4,6,26,83,13,22,16,1,0,0,0,2,2,0,2014
92,PARMA,INTER,2-0,1-0,4.1,7,5.8,31,69,3,4,11,4,5,13,70,8,36,18,3,0,0,10,1,14,3,2,20,88,15,17,19,1,0,0,2,0,0,2,2014
93,CHIEVO,SASSUOLO,0-0,0-0,2.3,6.4,6.1,44,56,6,1,12,5,5,30,70,19,22,20,1,0,0,4,3,10,3,5,20,80,20,49,16,6,0,0,0,0,0,0,2014
94,UDINESE,GENOA,02-Apr,02-Feb,7.9,5.1,7.6,52,48,11,2,15,2,7,21,77,22,16,10,2,0,0,6,6,13,1,5,20,79,15,44,14,3,0,0,2,4,4,2,2014
95,SAMPDORIA,FIORENTINA,03-Jan,02-Jan,6.6,6.9,5.1,33,67,5,6,12,1,3,17,73,17,43,17,3,0,0,7,5,15,3,10,21,85,18,14,26,4,0,0,3,1,1,3,2014
96,TORINO,ATALANTA,0-0,0-0,2.7,6.6,6,65,35,10,2,20,8,10,20,83,18,18,12,0,0,0,3,1,7,3,6,17,72,13,27,23,5,0,0,0,0,0,0,2014
97,MILAN,PALERMO,0-2,0-2,4.6,4.9,7.9,62,38,9,3,14,2,4,21,87,12,13,10,3,0,0,3,7,13,3,4,31,73,7,31,15,3,0,0,0,2,2,0,2014
